"filename", "language", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"e:\Coding\GitHub\MyWebsite\StyleSheets.css", "CSS", 483, 0, 0, 12, 64, 559
"e:\Coding\GitHub\MyWebsite\bakery.html", "HTML", 0, 115, 0, 8, 16, 139
"e:\Coding\GitHub\MyWebsite\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 3813, 0, 0, 7, 1118, 4938
"e:\Coding\GitHub\MyWebsite\desserts.html", "HTML", 0, 140, 0, 8, 20, 168
"e:\Coding\GitHub\MyWebsite\index.html", "HTML", 0, 106, 0, 12, 18, 136
"e:\Coding\GitHub\MyWebsite\js\jquery-3.5.1.js", "JavaScript", 0, 0, 6906, 1890, 2076, 10872
"e:\Coding\GitHub\MyWebsite\js\myScripts.js", "JavaScript", 0, 0, 502, 39, 54, 595
"e:\Coding\GitHub\MyWebsite\js\test.js", "JavaScript", 0, 0, 27, 0, 3, 30
"e:\Coding\GitHub\MyWebsite\maindishes.html", "HTML", 0, 112, 0, 9, 13, 134
"e:\Coding\GitHub\MyWebsite\starters.html", "HTML", 0, 72, 0, 8, 15, 95
"Total", "-", 4296, 545, 7435, 1993, 3397, 17666
