"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"e:\Coding\GitHub\MyWebsite\StyleSheets.css", "CSS", 0, 483, 0, 12, 64, 559
"e:\Coding\GitHub\MyWebsite\bakery.html", "HTML", 115, 0, 0, 8, 16, 139
"e:\Coding\GitHub\MyWebsite\bootstrap\css\bootstrap-grid.rtl.css", "CSS", 0, 3813, 0, 7, 1118, 4938
"e:\Coding\GitHub\MyWebsite\desserts.html", "HTML", 140, 0, 0, 8, 20, 168
"e:\Coding\GitHub\MyWebsite\index.html", "HTML", 106, 0, 0, 12, 18, 136
"e:\Coding\GitHub\MyWebsite\js\myScripts.js", "JavaScript", 0, 0, 502, 39, 54, 595
"e:\Coding\GitHub\MyWebsite\js\test.js", "JavaScript", 0, 0, 27, 0, 3, 30
"e:\Coding\GitHub\MyWebsite\maindishes.html", "HTML", 112, 0, 0, 9, 13, 134
"e:\Coding\GitHub\MyWebsite\starters.html", "HTML", 72, 0, 0, 8, 15, 95
"Total", "-", 545, 4296, 529, 103, 1321, 6794
